kemendagri_kode_provinsi,kemendagri_nama_provinsi,kemendagri_kode_kabupaten_kota,kemendagri_nama_kabupaten_kota,tahun,bulan,jenis_stunting,jumlah,satuan
11,Aceh,11.16,Kabupaten Aceh Tamiang,2022,November,wasting,928,jiwa
11,Aceh,11.17,Kabupaten Bener Meriah,2022,November,wasting,389,jiwa
11,Aceh,11.18,Kabupaten Pidie Jaya,2022,November,wasting,520,jiwa
11,Aceh,11.71,Kota Banda Aceh,2022,November,wasting,443,jiwa
11,Aceh,11.72,Kota Sabang,2022,November,wasting,224,jiwa
11,Aceh,11.73,Kota Lhokseumawe,2022,November,wasting,425,jiwa
11,Aceh,11.74,Kota Langsa,2022,November,wasting,72,jiwa
11,Aceh,11.75,Kota Subulussalam,2022,November,wasting,487,jiwa
11,Aceh,11.01,Kabupaten Aceh Selatan,2022,Desember,wasting,393,jiwa
11,Aceh,11.02,Kabupaten Aceh Tenggara,2022,Desember,wasting,424,jiwa
11,Aceh,11.03,Kabupaten Aceh Timur,2022,Desember,wasting,1496,jiwa
11,Aceh,11.04,Kabupaten Aceh Tengah,2022,Desember,wasting,331,jiwa
11,Aceh,11.05,Kabupaten Aceh Barat,2022,Desember,wasting,687,jiwa
11,Aceh,11.06,Kabupaten Aceh Besar,2022,Desember,wasting,2623,jiwa
11,Aceh,11.07,Kabupaten Pidie,2022,Desember,wasting,1519,jiwa
11,Aceh,11.08,Kabupaten Aceh Utara,2022,Desember,wasting,1718,jiwa
11,Aceh,11.09,Kabupaten Simeulue,2022,Desember,wasting,448,jiwa
11,Aceh,11.1,Kabupaten Aceh Singkil,2022,Desember,wasting,382,jiwa
11,Aceh,11.11,Kabupaten Bireuen,2022,Desember,wasting,765,jiwa
11,Aceh,11.12,Kabupaten Aceh Barat Daya,2022,Desember,wasting,522,jiwa
11,Aceh,11.13,Kabupaten Gayo Lues,2022,Desember,wasting,270,jiwa
11,Aceh,11.14,Kabupaten Aceh Jaya,2022,Desember,wasting,326,jiwa
11,Aceh,11.15,Kabupaten Nagan Raya,2022,Desember,wasting,470,jiwa
11,Aceh,11.16,Kabupaten Aceh Tamiang,2022,Desember,wasting,848,jiwa
11,Aceh,11.17,Kabupaten Bener Meriah,2022,Desember,wasting,379,jiwa
11,Aceh,11.18,Kabupaten Pidie Jaya,2022,Desember,wasting,570,jiwa
